epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,553.471,0.45459,0.75187,0.2968,0.00409,0.20584,1,0.99948,0.995,0.87268,1,0.99948,0.995,0.87573,0.5814,0.96863,0.1798,0.0098,0,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,560.083,0.44955,0.76895,0.24904,0.00411,0.19768,0.99521,1,0.995,0.87204,0.99521,1,0.995,0.8724,0.57771,0.97503,0.17864,0.00967,0,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,566.561,0.46423,0.76923,0.28484,0.00419,0.19677,0.98688,1,0.99488,0.87974,0.98688,1,0.99488,0.87577,0.57569,0.98052,0.17902,0.00968,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,573.379,0.44831,0.74142,0.24213,0.00396,0.18845,0.9983,1,0.995,0.87455,0.9983,1,0.995,0.87178,0.57459,0.98646,0.18046,0.00962,0,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,579.931,0.4643,0.77368,0.27834,0.00399,0.22729,0.99778,1,0.995,0.88263,0.99778,1,0.995,0.87068,0.57173,1.0018,0.17343,0.00959,0,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,586.643,0.45874,0.78349,0.25565,0.00408,0.20064,1,0.98735,0.99465,0.87062,1,0.98735,0.99465,0.87538,0.57618,0.98797,0.18155,0.00968,0,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,593.445,0.45789,0.76274,0.27863,0.00415,0.23041,0.98544,1,0.99488,0.87547,0.98544,1,0.99488,0.87473,0.5721,0.98506,0.18214,0.0096,0,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,600.382,0.44712,0.75897,0.26364,0.00401,0.21052,0.99835,0.9878,0.99488,0.87375,0.99835,0.9878,0.99488,0.87259,0.57694,0.98484,0.17446,0.00966,0,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,607.283,0.44812,0.74413,0.25504,0.00408,0.21166,0.99763,1,0.995,0.88836,0.99763,1,0.995,0.87474,0.57304,0.96944,0.17554,0.00963,0,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,614.338,0.43713,0.75328,0.26574,0.0038,0.19412,1,0.99842,0.995,0.88093,1,0.99842,0.995,0.87453,0.5646,0.97328,0.17726,0.00948,0,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,621.126,0.44318,0.76955,0.25496,0.00396,0.2044,0.99887,1,0.995,0.88108,0.99887,1,0.995,0.87106,0.56544,0.98343,0.17263,0.00949,0,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,628.006,0.45512,0.75295,0.28189,0.00412,0.20319,0.99897,1,0.995,0.8783,0.99897,1,0.995,0.87075,0.57867,0.97942,0.17179,0.00974,0,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,639.417,0.3459,0.68634,0.21046,0.00477,0.18244,1,0.99902,0.995,0.87483,1,0.99902,0.995,0.86791,0.56809,0.99289,0.16188,0.00956,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,646.505,0.3331,0.67859,0.19287,0.00455,0.18044,1,0.9976,0.995,0.8693,1,0.9976,0.995,0.8661,0.55651,0.9955,0.16672,0.00936,0,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,653.085,0.33475,0.6629,0.18674,0.00457,0.1787,0.9991,1,0.995,0.87343,0.9991,1,0.995,0.86993,0.56047,0.99198,0.17073,0.00941,0,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,659.775,0.32639,0.68724,0.18682,0.00442,0.18113,0.99878,1,0.995,0.8717,0.99878,1,0.995,0.86649,0.56198,0.99112,0.17236,0.00942,0,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,666.424,0.30634,0.65623,0.17527,0.00409,0.17378,0.99896,1,0.995,0.87414,0.99896,1,0.995,0.86383,0.56625,0.98436,0.16821,0.00951,0,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
